ID,gene
608,6443
609,58478
610,4850
611,23210
612,54733
613,55129
614,10273
615,572
616,5716
617,22841
618,2356
619,6050
620,64422
621,8837
622,55127
623,23335
624,10270
625,6509
626,83743
627,6772
628,22887
629,51001
630,26511
631,7874
632,51070
633,1738
634,3416
635,9128
636,9833
637,4088
638,5018
639,51375
640,55038
641,23061
642,64428
643,11325
644,9641
645,23038
646,57048
647,94239
648,51203
649,388650
650,23039
651,55179
652,5827
653,10245
654,6813
655,3251
656,23212
657,23536
658,51282
659,10227
660,50813
661,51024
662,53343
663,1465
664,79006
665,6988
666,11011
667,23325
668,10049
669,3157
670,200734
671,9053
672,79094
673,2778
674,54881
675,54807
676,323
677,26001
678,10190
679,9686
680,54915
681,23658
682,7750
683,79643
684,9488
685,11200
686,65057
687,6832
688,23131
689,10776
690,6253
691,79716
692,29978
693,9988
694,10845
695,54957
696,79170
697,10610
698,128
699,51026
700,5498
701,124583
702,9455
703,1212
704,5255
705,9448
706,9924
707,5480
708,1983
709,56889
710,79080
711,9016
712,6915
713,9709
714,116832
715,670
716,7867
717,79143
718,11284
719,23443
720,51599
721,5927
722,55793
723,5867
724,7866
725,25825
726,4067
727,51015
728,5891
729,3300
730,64781
731,51056
732,8550
733,50810
734,23011
735,11168
736,1385
737,10150
738,29763
739,9112
740,23499
741,85236
742,5096
743,55620
744,5373
745,51170
746,54850
747,80349
748,355
749,1062
750,8804
751,80758
752,375346
753,51385
754,55748
755,10318
756,54681
757,7905
758,28969
759,10668
760,51005
761,8800
762,54438
763,55825
764,8835
765,64429
766,3682
767,10329
768,27109
769,51335
770,3202
771,2896
772,79902
773,29083
774,5747
775,22905
776,63933
777,9847
778,51021
779,8996
780,7376
781,5357
782,56940
783,6195
784,1633
785,23321
786,51160
787,55604
788,2063
789,54512
790,9124
791,79174
792,23223
793,39
794,57215
795,1052
796,23139
797,79947
798,4616
799,9710
800,6990
801,29082
802,9670
803,81533
804,10525
805,2353
806,57192
807,3398
808,3775
809,26064
810,29103
811,3206
812,1500
813,7690
814,29911
815,2064
816,65123
817,5986
818,85377
819,9903
820,7088
821,22796
822,51116
823,54442
824,10695
825,102
826,965
827,3800
828,10362
829,5300
830,8270
831,27242
832,9928
833,1534
834,5654
835,10810
836,7105
837,23014
838,55012
839,2887
840,9183
841,11151
842,7511
843,10046
844,1829
845,11000
846,976
847,3597
848,178
849,2625
850,6119
851,26136
852,6697
853,5971
854,22934
855,9289
856,4931
857,4200
858,93594
859,5982
860,26520
861,4998
862,10038
863,60493
864,51495
865,4482
866,23224
867,9690
868,80212
869,29928
870,22809
871,50814
872,55256
873,56997
874,81544
875,6894
876,64080
877,55818
878,637
879,22823
880,5287
881,91137
882,23097
883,9851
884,23522
885,1123
886,5603
887,51569
888,55699
889,2624
890,8204
891,9133
892,10921
893,51742
894,2954
895,27244
896,23013
897,8050
898,79961
899,2017
900,55148
901,960
902,10451
903,57406
904,51719
905,7074
906,10059
907,51071
908,5796
909,55008
910,23597
911,8869
912,8727
913,63874
914,8821
915,57178
916,5468
917,10557
918,831
919,9531
920,2767
921,1861
922,10165
923,7106
924,2908
925,57761
926,23338
927,7852
928,55033
929,57019
930,91949
931,84617
932,25
933,899
934,79850
935,51466
936,2852
937,55837
938,2131
939,5427
940,25966
941,55608
942,1662
943,9702
944,11031
945,10057
946,5985
947,3280
948,55958
949,51465
950,2542
951,10641
952,11137
953,9842
954,10493
955,10112
956,1001
957,23635
958,29916
959,2810
960,5993
961,11142
962,79187
963,51382
964,8318
965,9695
966,9712
967,64943
968,9738
969,6793
970,7358
971,58472
972,50865
973,23200
974,51293
975,10962
976,10153
977,874
